file,class,method,variable,usage
/projects3/poi/src/integrationtest/org/apache/poi/stress/HSSFFileHandler.java,org.apache.poi.stress.HSSFFileHandler,"handleFile/2[java.io.InputStream,java.lang.String]",path,0
/projects3/poi/src/integrationtest/org/apache/poi/stress/HSSFFileHandler.java,org.apache.poi.stress.HSSFFileHandler,"handleFile/2[java.io.InputStream,java.lang.String]",stream,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/HSSFFileHandler.java,org.apache.poi.stress.HSSFFileHandler,"handleFile/2[java.io.InputStream,java.lang.String]",sheet,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/HSSFFileHandler.java,org.apache.poi.stress.HSSFFileHandler,"handleFile/2[java.io.InputStream,java.lang.String]",wb,5
/projects3/poi/src/integrationtest/org/apache/poi/stress/HSSFFileHandler.java,org.apache.poi.stress.HSSFFileHandler,"handleFile/2[java.io.InputStream,java.lang.String]",row,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/HSSFFileHandler.java,org.apache.poi.stress.HSSFFileHandler,"handleFile/2[java.io.InputStream,java.lang.String]",cell,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/HSSFFileHandler.java,org.apache.poi.stress.HSSFFileHandler,handleAdditional/1[java.io.File],file,4
/projects3/poi/src/integrationtest/org/apache/poi/stress/HSSFFileHandler.java,org.apache.poi.stress.HSSFFileHandler,handleAdditional/1[java.io.File],fileWithParent,2
/projects3/poi/src/integrationtest/org/apache/poi/stress/HSSFFileHandler.java,org.apache.poi.stress.HSSFFileHandler,handleAdditional/1[java.io.File],e,2
/projects3/poi/src/integrationtest/org/apache/poi/stress/HSSFFileHandler.java,org.apache.poi.stress.HSSFFileHandler,handleAdditional/1[java.io.File],oldOut,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/HSSFFileHandler.java,org.apache.poi.stress.HSSFFileHandler,test/0,file,2
/projects3/poi/src/integrationtest/org/apache/poi/stress/HSSFFileHandler.java,org.apache.poi.stress.HSSFFileHandler,test/0,stream,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/HSSFFileHandler.java,org.apache.poi.stress.HSSFFileHandler$Anonymous1,write/1[int],b,0
/projects3/poi/src/integrationtest/org/apache/poi/stress/XDGFFileHandler.java,org.apache.poi.stress.XDGFFileHandler,"handleFile/2[java.io.InputStream,java.lang.String]",path,0
/projects3/poi/src/integrationtest/org/apache/poi/stress/XDGFFileHandler.java,org.apache.poi.stress.XDGFFileHandler,"handleFile/2[java.io.InputStream,java.lang.String]",stream,2
/projects3/poi/src/integrationtest/org/apache/poi/stress/XDGFFileHandler.java,org.apache.poi.stress.XDGFFileHandler,"handleFile/2[java.io.InputStream,java.lang.String]",doc,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/XDGFFileHandler.java,org.apache.poi.stress.XDGFFileHandler,test/0,doc,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/XDGFFileHandler.java,org.apache.poi.stress.XDGFFileHandler,test/0,pkg,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler,exportToXML/1[org.apache.poi.stress.XSSFWorkbook],exporter,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler,exportToXML/1[org.apache.poi.stress.XSSFWorkbook],os,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler,exportToXML/1[org.apache.poi.stress.XSSFWorkbook],wb,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler,exportToXML/1[org.apache.poi.stress.XSSFWorkbook],map,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler,handleAdditional/1[java.io.File],testFile,2
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler,handleAdditional/1[java.io.File],file,7
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler,handleAdditional/1[java.io.File],e,2
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler,handleAdditional/1[java.io.File],oldOut,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler,test/0,file,3
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler,test/0,stream,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler,"handleFile/2[java.io.InputStream,java.lang.String]",msg,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler,"handleFile/2[java.io.InputStream,java.lang.String]",b,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler,"handleFile/2[java.io.InputStream,java.lang.String]",dec,2
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler,"handleFile/2[java.io.InputStream,java.lang.String]",ei,1
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler,"handleFile/2[java.io.InputStream,java.lang.String]",pass,3
/projects3/poi/src/integrationtest/org/apache/poi/stress/XSSFFileHandler.java,org.apache.poi.stress.XSSFFileHandler,"handleFile/2[java.io.InputStream,java.lang.String]",e,2
